SOC_NAME,NumberApplications,ShareOfTotalAsPercent,ROUND(AVG(PREVAILING_WAGE)),STDDEV(PREVAILING_WAGE)
"CRIMINAL JUSTICE AND LAW ENFORCEMENT TEACHERS",3,0.0,51263,0
"GEOSPATIAL INFORMATION SCIENTISTS AND TECHNOLOGIST",3,0.0,60299,17321.60213914021
"ROBOTICS ENGINEERS",2,0.0,83543,26697
"ELECTRONICS ENGINEERS, EXCEPT COMPUTERS",2,0.0,67319,5959
"ENVIRONMENTAL SCIENTISTS AND SPECIALISTS",2,0.0,61422,4950.5
"AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMER",2,0.0,37190,6593.5
"NETWORK COMPUTER SYSTEMS ADMINISTRATORS",2,0.0,74381,7467
"INTERVIEWERS, EXCEPT ELIGIBILITY AND LOAN",2,0.0,33966,665.5
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND CAR",2,0.0,56695,755.041015625
"FIRST-LINE SUPERVISORS OF FARMING, FISHING, AND",2,0.0,46222,4862.5
LAWYER,2,0.0,72405,4908.80078125
"SOFTWARE DEVELOPERS, APPLICATIONS.",2,0.0,66664,0
"SOFTWARE DEVELOPERS-APPLICATIONS",2,0.0,67184,0
"SECURITIES, COMMODITIES, AND FINANCIAL",2,0.0,50732,14206.5
"DIETETIC TECHNICIANS",2,0.0,34902,0
"RISK MANAGEMENT SPECIALISTS",2,0.0,72352,9682.5
"BIOCHEMISTS & BIOPHYSICISTS",2,0.0,37794,0
"DATABASE ADMINSTRATORS",2,0.0,85592,10941
"HUMAN FACTORS ENGINEERS AND ERGONOMISTS",2,0.0,72779,8091
"NETWORK & COMPUTER SYSTEMS ADMINISTRATORS",2,0.0,63856,15870
"COMPUTER SYSTEMS ENGINEERS, ARCHITECTS",2,0.0,60196,790.5
"METAL WORKERS AND PLASTIC WORKERS, ALL OTHER",2,0.0,42411,0
"ART, DRAMA AND MUSIC TEACHERS, POSTSECONDARY",2,0.0,42381,2838.099609375
"AIRFIELD OPERATIONS SPECIALISTS",2,0.0,33415,2693.400390625
"LIGHT TRUCK OR DELIVERY SERVICES DRIVERS",2,0.0,25324,4524
"CONSTRUCTION LABORERS",2,0.0,36109,0
"ELEVATOR INSTALLERS AND REPAIRERS",2,0.0,70720,8320
"ELECTRICAL ENGINEERS, NON R&D",2,0.0,61756,10337.5
"OCCUPATIONAL HEALTH AND SAFETY TECHNICIANS",2,0.0,46363,0
"HOME HEALTH AIDES",2,0.0,23754,0
"BILL AND ACCOUNT COLLECTORS",2,0.0,57637,26103.998046875
"COMPUTERS MANAGERS",2,0.0,154565,0
"RADIO AND TELEVISION ANNOUNCERS",2,0.0,21206,1092
"WEIGHERS, MEASURERS, CHECKERS, AND SAMPLERS,",2,0.0,28974,0
"COMPUTER OCCUPATIONS,  ALL OTHER",2,0.0,65582,0
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL",2,0.0,49432,490.1015625
"SOFTWARE QUALITY ASSURANACE ENGINEERS AND TESTERS",2,0.0,74006,0
"TRAFFIC TECHNICIANS",2,0.0,38251,2413
"FAMILY & GENERAL PRACTITIONERS",2,0.0,194189,0
"STRUCTURAL IRON AND STEEL WORKERS",2,0.0,35000,0
"SOFTWARE DEVELPERS, APPLICATIONS",2,0.0,90750,0
"FIRST-LINE SUPERVISORS OF MECHANICS, INSTALLERS,",2,0.0,52562,0
"INDUSTRIAL SAFETY AND HEALTH ENGINEERS",2,0.0,94619,28205
"ADULT BASIC AND SECONDARY EDUCATION AND LITERACY T",2,0.0,42120,1331.099609375
"MASSAGE THERAPISTS",2,0.0,39010,6645.599609375
"PUBLIC RELATIONS AND FUND RAISING MANAGERS",2,0.0,35173,0
MACHINISTS,2,0.0,29910,0
"PUBLIC RELATIONS SPECIALIST",2,0.0,52577,2377
"EDUCATIONAL, GUIDANCE, SCHOOL, AND VOCATIONAL COUN",2,0.0,36930,1091.80078125
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL EDUCATIO",2,0.0,43780,0
"SOFTWARE ENGINEER",2,0.0,107734,2028
ATTORNEY,2,0.0,80798,1674.3984375
"NURSE ANESTHETISTS",2,0.0,107408,6722
"GAMING MANAGERS",2,0.0,43118,0
"SOFTER DEVELOPERS, APPLICATIONS",2,0.0,73663,4732
"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, NON R&AMP;D",2,0.0,66300,11326
"HEALTH TECHNOLOGISTS AND TECHNICIANS, ALL OTHER*",2,0.0,51626,0
"COMPUTER SYSTEMS ANALYSTS, R&AMP;D",2,0.0,45802,0
"SOCIAL SCIENCE TEACHERS, POSTSECONDARY, ALL OTHER",2,0.0,51790,0
"PRINTING PRESS OPERATORS",2,0.0,35963,624
"ELEMENTARY SCHOOL TEACHERS, EXEPT SPECIAL",2,0.0,37000,0
"RESERVATION AND TRANSPORTATION TICKET AGENTS AND",2,0.0,40000,0
"TECHNICAL WRITER",2,0.0,145568,51677.5
"COMPUTER SYTEMS ANALYSTS",2,0.0,78489,11700
RADIOLOGISTS,2,0.0,50794,0
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND CAREER/TECHNICAL EDUCATION",2,0.0,34237,936
"SPEECH AND LANGUAGE PATHOLOGISTS",2,0.0,57782,0
"SOFTWARE DEVELOPER/ APPLICATIONS",2,0.0,111925,0
"SOFTWARE DEVELOPERS, SYSTEM SOFTWARE",2,0.0,61194,0
"GENERAL AND OPERATIONS MANAGER",2,0.0,64230,0
"MATERIAL ENGINEERS",2,0.0,71885,0
"BIOLOGICAL TECHNICIAN",2,0.0,28142,1560
"POST-SECONDARY TEACHERS, ALL OTHER",2,0.0,44000,0
"LIFEGUARDS, SKI PATROL, AND OTHER RECREATIONAL",2,0.0,22797,0
"FINANCIAL MANAGERS, BRANCH OR DEPARTMENT",2,0.0,147805,0
"PRODUCTION WORKERS, ALL OTHER",2,0.0,51906,12220.19921875
"PHOTONICS ENGINEERS",2,0.0,87194,0
"ADULT BASIC SECOND EDUC AND LIT TEACH AND INSTRUC",2,0.0,29256,1466.5
"ENGINEERING TEACHERS",2,0.0,65855,665
"RADIOLOGIC TECHNOLOGISTS",2,0.0,41225,748.599609375
"DEVELOPER - MICROSOFT TECHNOLOGIES",2,0.0,98987,0
"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS, R&D",2,0.0,66966,1716
"COMPUTER SYSTEMS ENGINEER/ARCHITECTS",2,0.0,75878,0
"QUALITY CONTROL SYSTEMS MANAGER",2,0.0,122283,0
"EDUCATIONAL, GUIDANCE, SCHOOL AND VOCATIONAL COUNS",2,0.0,31959,655
"CIVIL ENGINEER",2,0.0,56909,0
"COMPUTER DEVELOPERS, APPLICATIONS",2,0.0,79550,8309.5
"MEDICAL SCIENTISTS",2,0.0,103314,23004.69921875
"COMPUTER NETWORK ARCHITECTS, NON R&D",2,0.0,79446,30628.5
"POLICE AND SHERIFF'S PATROL OFFICERS",2,0.0,55452,0
"MINING AND GEOLOGICAL ENGINEERS",2,0.0,69638,0
"QUALITY CONTROL ANALYSTS",2,0.0,46769,5252
"COMPUTERS SYSTEMS ANALYSTS",2,0.0,73715,0
"LOGISTICS MANAGER",1,0.0,64373,0
"SECONDARY SCHOOL TEACHERS, EXCEPT  SPECIAL AND CAR",1,0.0,41540,0
"COMPUTER OCCUPTATIONS, ALL OTHER",1,0.0,64418,0
"SHIP ENGINEERS",1,0.0,108930,0
"MARKETING RESEARCH ANALYSTS & MARKETING SPECIALIST",1,0.0,46134,0
"SYSTEMS ASSOCIATE",1,0.0,48422,0
"FARMERS, RANCHERS AND OTHER AGRICULTURAL MANAGERS",1,0.0,42931,0
EPIDEMIOLOGIST,1,0.0,51043,0
ACCOUNTANT,1,0.0,55370,0
"SOFTWARE DEVELOPERS, APPILCATIONS",1,0.0,142376,0
"FITNESS AND WELLNESS COORDINATORS",1,0.0,56930,0
"SECURITIES, AND COMMODITIES TRADERS",1,0.0,112029,0
"MANUFACTURING ENGINEERING TECHNOLOGISTS",1,0.0,32594,0
"CARDIOVASCULAR TECHNOLOGISTS AND TECHNICIANS",1,0.0,26728,0
"TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS",1,0.0,49962,0
"SOFTWARE DEVELOPERS",1,0.0,80434,0
"SECURITIES,COMMODITIES,FINANCIALSRVICESSALESAGENTS",1,0.0,159141,0
"ELECTRICAL ENGINEERS, NON-R&AMP;D",1,0.0,83158,0
"GENERAL AND OPERATIONS MANAGERSE",1,0.0,68702,0
"ENGLISH LANGUAGE & LIT TEACHERS, POSTSECONDARY",1,0.0,39270,0
"WATCH REPAIRERS",1,0.0,56742,0
"COMPUTER SYSTEMS ENGINEERS OR ARCHITECTS",1,0.0,68432,0
"INTERIOR DESIGNER",1,0.0,80808,0
"FOOD PROCESSING WORKERS, ALL OTHER",1,0.0,31200,0
"VIDEO GAME DESIGNERS",1,0.0,42702,0
"COMPUTER & INFORMATION RESEARCH SCIENTISTS",1,0.0,78125,0
"VETERINARY ASSISTANTS AND LABORATORY ANIMAL CARETA",1,0.0,29162,0
"OPERATIONS RESEARCH CONSULTANTS",1,0.0,61090,0
"PETROLEUM ENGINEER",1,0.0,118394,0
"FIRST-LINE SUPERVISORS OF TRANSPORTATION AND",1,0.0,51709,0
"EXECUTIVE SECRETARIES AND ADMINISTRATIVE",1,0.0,43243,0
"BIOLOGISTS (19-1020.01)",1,0.0,40997,0
"COMPUTER SYSTEMS, ANALYSTS",1,0.0,94411,0
"HUMAN RESOURCES MANAGER",1,0.0,105000,0
"SOFTWARE QUALITY ASSURANCE EGNINEERS AND TESTERS",1,0.0,97698,0
"CHEMICAL ENGINEERING",1,0.0,66102,0
"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALIST",1,0.0,71635,0
DENTIST,1,0.0,182874,0
"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGITS",1,0.0,76149,0
STONEMASONS,1,0.0,24960,0
"ENGINEERING TECHNICIANS,EXCEPT DRAFTERS, ALL OTHER",1,0.0,72550,0
ACUPUNCTURISTS,1,0.0,61464,0
"HELPERS--PAINTERS, PAPERHANGERS, PLASTERERS, AND",1,0.0,25917,0
"ENGINEERING TEACHERS - POSTSECONDARY",1,0.0,65190,0
"ELECTONICS ENGINEERS, EXCEPT COMPUTER",1,0.0,73278,0
"SOFTWARE DEVELOPERS, APPLCIATIONS",1,0.0,102253,0
"SECURITIES, COMMODITIES, AND FINANCIAL SERVICES S",1,0.0,112861,0
"ATMOSPHERIC, EARTH, MARINE, & SPACE SCIENCES TEACH",1,0.0,66290,0
"COMMUNICATIONS STUDIES TEACHERS, POSTSECONDARY",1,0.0,78537,0
"SALES REPRESENTATIVES, WHOLESALE AND MANUFACT",1,0.0,101379,0
"SOCIAL SCIENTISTS AND RELATED WORKERS, ALL OTHERS",1,0.0,38355,0
"FOREIGN LANGUAGE & LITERATURE TEACHERS, POSTSECOND",1,0.0,53970,0
"SALES AND RELATED WORKERS, ALL OTHER*",1,0.0,27394,0
ACTORS,1,0.0,52000,0
"GEOGRAPHIC INFORMATION SYSTEMS TECHNICIANS",1,0.0,69867,0
"MECHANICAL ENIGNEERS",1,0.0,114587,0
"GEOPHYSICAL DATA TECHNICIANS",1,0.0,78166,0
"COMPUTER OCCUPATIONS, ALL OTHERS",1,0.0,93891,0
LOGISTICIAN,1,0.0,40373,0
"CRIMINAL JUSTICE AND LAW ENFORCEMENT TEACHERS, POSTSECONDARY",1,0.0,37610,0
"COMPUTER INFORMATION SYSTEMS MANAGERS",1,0.0,122949,0
"MEDICAL APPLIANCE TECHNICIANS",1,0.0,28184,0
"SYSTEMS ANALYSTS",1,0.0,45864,0
"COOKS, FAST FOOD",1,0.0,16890,0
"CAREER/TECHNICAL EDUCATION TEACHERS, MIDDLE SCHOOL",1,0.0,63250,0
"SYSTEMS ENGINEERS/ARCHITECTS",1,0.0,75816,0
BARBERS,1,0.0,18346,0
"ELECTRICAL DRAFTERS",1,0.0,66581,0
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL CAREER/T",1,0.0,46593,0
17-2051,1,0.0,85571,0
"SUSTAINABILITY SPECIALISTS",1,0.0,59488,0
"COMPUTER HARDWARE ENGINEERS, R&AMP;D",1,0.0,44845,0
"SECURITIES, COMMODITIES, FIN. SERV. SALES AGENTS",1,0.0,104500,0
"ELECTROMECHANICAL ENGINEERING TECHNOLOGISTS",1,0.0,61580,0
"LODGING MANAGER",1,0.0,84926,0
"MATHEMATICAL TEACHERS, POSTSECONDARY",1,0.0,42103,0
"MEDICAL AND CLINCIAL LABORATORY TECHNOLOGISTS",1,0.0,42806,0
"ELECTRONICS ENGINEERS, EXPERT COMPUTER",1,0.0,40747,0
"LOAN COUNSELORS",1,0.0,37378,0
"SOFTWARE DEVELOPERS,  APPLICATIONS",1,0.0,133806,0
"SALES AGENTS, FINANCIAL SERVICES",1,0.0,36525,0
"BIOLOGICAL SCIENCE TEACHERS",1,0.0,41310,0
"SOFTWARE DEVELOPERS, APPLICATIONS, NONR&AMP;D",1,0.0,57283,0
"OPHTHALMIC MEDICAL TECHNICIANS",1,0.0,44782,0
"CHEMISTRY TEACHERS, POSTECONDARY",1,0.0,46560,0
"ENGLISH LANGUAGE & LITERATURE TEACHERS",1,0.0,59170,0
"MEDICAL EQUIPMENT REPAIRERS",1,0.0,51834,0
"COMPUTER NETWORK ARCHITECTS, NON R&AMP;D",1,0.0,90480,0
"FOREIGN LANGUAGE LITERATURE TEACHERS, POSTSECOND",1,0.0,29760,0
"DATA WAREHOUSING SPECIALIST",1,0.0,46322,0
"PERSONNEL RECRUITERS",1,0.0,79602,0
"ATHLETES AND SPORTS COMPETITORS",1,0.0,3900,0
"PHARMACY AIDES",1,0.0,29432,0
"AUTOMOTIVE ENGINEER",1,0.0,66560,0
"SOCIAL SCIENCE RESEARCH ASSISTANT",1,0.0,49899,0
"FILE CLERKS",1,0.0,34320,0
"CRIMINAL JUSTICE AND LAW ENFORCEMENT TEACHERS, POS",1,0.0,33560,0
"FINANCE MANAGERS",1,0.0,88171,0
"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL EDUCATION",1,0.0,40290,0
"COMPUTER OCCUPATIONS: ALL OTHER",1,0.0,118082,0
"HELPERS--PRODUCTION WORKERS",1,0.0,28246,0
"POETS, LYRICISTS AND CREATIVE WRITERS",1,0.0,49858,0
"SENIOR SOFTWARE ENGINEER",1,0.0,51979,0
"COUNTER ATTENDANTS, CAFETERIA, FOOD CONCESSION,",1,0.0,83200,0
"VALIDATION ENGINEER",1,0.0,55598,0
"LOGISTICS MANAGERS (11-3071.03)",1,0.0,60715,0
"WIND ENERGY ENGINEERS",1,0.0,110240,0
"CHMEICAL ENGINEERS",1,0.0,152443,0
"BIOINFORMATICS SCIENTIST",1,0.0,81536,0
"COMPUTE PROGRAMMERS",1,0.0,47902,0
"MEDICAL SCIENTIST, EXCEPT EPIDEMIOLOGISTS",1,0.0,40997,0
"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL OTHER",1,0.0,38646,0
"FINANCIAL ADVISOR/ACCOUNTANT",1,0.0,51376,0
"SECURITIES, COMMODITIES, AND FINANCIAL SER",1,0.0,64938,0
"NANOTECHNOLOGY ENGINEERING TECHNOLOGISTS",1,0.0,41912,0
"NATURAL SCIENCE MANAGERS",1,0.0,49587,0
"ENGINEERING TEACHERS POSTSECONDARY",1,0.0,30300,0
PSYCHIATRIST,1,0.0,163654,0
"SECURITIES, COMMODITIES, AND FINANCIAL SERVICE SAL",1,0.0,95826,0
BIOLOGISTS,1,0.0,47466,0
"WEB DEVELOPER",1,0.0,53747,0
"BUS AND TRUCK MECHANICS AND DIESEL ENGINE",1,0.0,50128,0
"NETWORK AND COMPUTER SYSTEMS",1,0.0,63294,0
TELEMARKETERS,1,0.0,27685,0
"MAINTENANCE AND REPAIR WORKERS, GENERAL",1,0.0,29370,0
"NETWORK SYSTEMS AND DATA COMMUNICATIONS ANALYSTS",1,0.0,54101,0
"COMPUTER & INFORMATION RESEARCH SCIENTIST",1,0.0,88629,0
"MECHANICAL ENGINEERS, NON-R&AMP;D",1,0.0,56285,0
"SOFTWARE QUALITY ASSURANCE ENGINEERS, TESTERS",1,0.0,72987,0
"LOAN INTERVIEWERS AND CLERKS",1,0.0,40373,0
"OPERATION RESEARCH ANALYSTS",1,0.0,76627,0
"MANGEMENT ANALYSTS",1,0.0,68557,0
"FIRST-LINE SUPERVISORS OF FOOD PREPARATION AND SER",1,0.0,39998,0
"COMPUTER OCCUPATION, ALL OTHER",1,0.0,75150,0
"TRAINING AND DEVELOPMENT SPECIALIST",1,0.0,46280,0
"MARKET RESEARCH",1,0.0,55536,0
"PROJECT MANAGER",1,0.0,111176,0
"FOOD PREPARATION AND SERVING RELATED WORKERS, ALL",1,0.0,19552,0
"MAIDS AND HOUSEKEEPING CLEANERS",1,0.0,17805,0
"SOFTWARE QUALITY ASSURANCE ENGIENERS AND TESTERS",1,0.0,63856,0
"HARDWARD ENGINEERS",1,0.0,52811,0
"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGIST",1,0.0,41870,0
"SOFTARE DEVELOPERS, APPLICATIONS",1,0.0,59010,0
"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS,ALL OTHER",1,0.0,65000,0
"MEDICAL AND CLINICAL LABORATORY TECHNOLOGIST",1,0.0,41018,0
CHEMIST,1,0.0,53518,0
"SECURITIES,COMMODITIES,FINANCIAL SVS SALES AGENT",1,0.0,64938,0
"HELPERS, CONSTRUCTION TRADES, ALL OTHER",1,0.0,86528000,0
"PROPERTY,REAL ESTATE,COMMUNITY ASSOCIATION MANAGER",1,0.0,50294,0
"ELECTRONICS ENGINEER EXCEPT COMPUTERS",1,0.0,73278,0
"PHYSICIANS &AMP; SURGEONS, ALL OTHER",1,0.0,49294,0
"SOFTWARE DEVELOPERS, SYTEMS SOFTWARE",1,0.0,95056,0
"SECURITIES AND COMMODITIES TRADERS",1,0.0,64459,0
"ELECTRICAL AND ELECTRONICS REPAIRERS, COMMERCIAL",1,0.0,45365,0
"BIOCHEMISTS OR BIOPHYSICISTS",1,0.0,40810,0
"VICE PRESIDENT OF INVESTOR RELATIONS",1,0.0,104416,0
"ATMOSPHERIC, EARTH, MARINE, AND SPACE SCIENCES TEA",1,0.0,35970,0
MILLWRIGHTS,1,0.0,41475,0
"SOFTWARE QAULITY ASSURANCE ENGINEERS AND TESTERS",1,0.0,76960,0
"FLORAL DESIGNERS",1,0.0,36816,0
"TRANSPORTATION PLANNERS",1,0.0,38709,0
"FOREIGN LANGUAGE & LIT TEACHERS, POSTSECONDARY",1,0.0,40550,0
"NETWORK AND SYSTEMS ADMINISTRATORS",1,0.0,76773,0
"BIOINFORMATICS TECHNICIANS",1,0.0,41912,0
"COMPUTER SYSTEMS ENGINEERS/ARCHITECTS (ENGINEERS)",1,0.0,65770,0
"COMPUTER NETWORK SUPPORT SPECIALISTS 15-1152",1,0.0,38646,0
"MUSICIANS, INSTRUMENTAL",1,0.0,60029,0
"LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, AL",1,0.0,76686,0
"PACKAGING AND FILLING MACHINE OPERATORS AND",1,0.0,123531,0
"MEETING, CONVENTION AND EVENT PLANNERS",1,0.0,61942,0
"ENGINEERS, ALL OTHERS",1,0.0,83470,0
"PURCHASING MANAGER",1,0.0,106330,0
"COMPUTER OCCUPATIONS/ALL OTHER",1,0.0,71781,0
"FLIGHT ATTENDANTS",1,0.0,123510,0
"COMPUTER OCCUPATIONS,ALL OTHER",1,0.0,66518,0
"BIOLOGICAL SCIENTIST, ALL OTHERS",1,0.0,41662,0
"MARKET RESEARCH ANALYSTS AND MARKESTING SPECIALISTS",1,0.0,54122,0
"COMPUTER PROGRAMMERS / ANALYST",1,0.0,56451,0
"FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANGERS",1,0.0,37981,0
"TRANSPORTATION ENGINEERS",1,0.0,60861,0
"BUSINESS OPERATIONS SPECIALIST, ALL OTHERS",1,0.0,44200,0
"LIFE SCIENTISTS",1,0.0,46051,0
"FAMILY AND GENERAL PRACTICIONERS",1,0.0,132371,0
"OPERATING ENGINEERS AND OTHER CONSTRUCTION",1,0.0,45000,0
"INDUSTRIAL ENGINEERING TECHNOLOGISTS",1,0.0,61580,0
"COMPUTER PROGRAMMERS, R&AMP;D",1,0.0,75982,0
"ELECTRONICS ENGINEERS, EXCEPT COMPUER",1,0.0,61880,0
"SECURITIES COMMODITIES FIN SERVICES SALES AGENTS",1,0.0,112029,0
"SEPTIC TANK SERVICERS AND SEWER PIPE CLEANERS",1,0.0,21882,0
"BIOLOGICAL TEACHERS, POSTSECONDARY",1,0.0,40990,0
"SOFTWARE DEVELOPERS, APPLICATIONS,  NON R&D",1,0.0,64355,0
"LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES",1,0.0,36566,0
"AGENTS AND BUSINESS MANAGERS OF ARTISTS",1,0.0,30035,0
"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, R&D (ACWIA",1,0.0,69243,0
"ENGLISH LANGUAGE &  LIT TEACHERS, POST SECONDARY",1,0.0,39280,0
"MUSICAL INSTRUMENT REPAIRERS AND TUNERS",1,0.0,43763,0
"COMPUTER SYSTEMS ENGINEERS/ARQUITECTS",1,0.0,80995,0
"SALES MANGERS",1,0.0,160368,0
"FOOD AND TOBACCO ROASTING, BAKING, AND DRYING",1,0.0,31200,0
"HEALTH SPECIALITY TEACHERS, POSTSECONDARY",1,0.0,134290,0
"COMPUTER AND INFORMATION SCIENTISTS, RESEARCH",1,0.0,50773,0
"COMPUTER AND INFORMATON SYSTEMS MANAGERS",1,0.0,118414,0
"SOCIAL SCIENCE RESEARCH ASSISSTANTS",1,0.0,54142,0
"HOTEL, MOTEL, AND RESORT DESK CLERKS",1,0.0,28642,0
"MANAGMENT ANALYSTS",1,0.0,67746,0
"COMPENSATION, BENEFITS, AND JOB ANALYSIS SPEC",1,0.0,46904,0
"COMPUTER SYSTEMS ANLYSTS",1,0.0,49774,0
DISHWASHERS,1,0.0,16994,0
"TRANSPORTATION MANAGERS",1,0.0,129917,0
"MEDICAL SECRETARIES",1,0.0,38667,0
"SOLAR ENERGY SYSTEMS ENGINEERS",1,0.0,74131,0
"CHEMICAL ENGINEER",1,0.0,79498,0
"MARKET RESEACH ANALYSTS AND MARKETING SPECIALISTS",1,0.0,50086,0
"TRAVEL GUIDES",1,0.0,46488,0
"CONSTRUCTION MANAGER",1,0.0,104374,0
"SPECIAL EDUCATION TEACHERS, PRESCHOOL, KINDERGARTE",1,0.0,31284,0
"MEDICAL SEICENTISTS, EXCEPT EPIDEMIOLOGISTS",1,0.0,66123,0
"SOFTWARE ENGINEER, SENIOR",1,0.0,120349,0
"ENGINEERING MANAGERS",1,0.0,111696,0
"COMPUTER PROGRAMMERS, NON R & D",1,0.0,47195,0
"HEALTH DIAGNOSING AND TREATING PRACTITIONERS",1,0.0,76419,0
"ELECTRCIAL ENGINEERS",1,0.0,78749,0
PHYSICIST,1,0.0,46259,0
"SOFTWARE DEVLOPERS, APPLICATIONS",1,0.0,75338,0
"SECURITIES, COMMODITIES AND SALES AGENTS",1,0.0,112029,0
"SOLAR PHOTOVOLTAIC INSTALLERS",1,0.0,40019,0
"ELECTRONICS ENGINEERS, EXPECT COMPUTER",1,0.0,107037,0
"SECURITIES, COMMODITIES, AND FINANCIAL SA",1,0.0,112029,0
"COMPUTER, AUTOMATED TELLER, AND OFFICE MACHINE",1,0.0,43160,0
"BIOLOGIST (19-1020.01)",1,0.0,42432,0
"ATMOSPHERIC, EARTH, MARINE, AND SPACE SCIENCES TEACHERS, POSTSECONDARY",1,0.0,53922,0
"EDUCATION, TRAINING, & LIBRARY WORKERS, ALL OTHER",1,0.0,37939,0
"NEUROPSYCHOLOGISTS AND CLINICAL NEUROPSYCHOLOGISTS",1,0.0,52582,0
"SALESREPRESENTATIVES,WHOLESALEMANUFACTURING,TECHNI",1,0.0,79934,0
"MOBILE HEAVY EQUIPMENT MECHANICS, EXCEPT ENGINES",1,0.0,64480,0
"ANTHROPOLOGY AND ARCHEOLOGY TEACHERS, POSTSECONDAR",1,0.0,64940,0
"COMMERCIAL AND INDUSTRIAL DEISGNERS",1,0.0,59842,0
"COMPUTER SYSTEMS ANALYST, NON R&D",1,0.0,42973,0
"SOCIAL SCIENTISTS AND RELATED WORKERS",1,0.0,55910,0
"NETWORK ADMINISTRATOR",1,0.0,60320,0
"ENVIRONMENTAL COMPLIANCE INSPECTORS",1,0.0,48776,0
"COMPUTER SPECIALISTS, ALL OTHER",1,0.0,94598,0
"PUBLIC RELATIONS MANAGERS",1,0.0,98072,0
"GEOLOGICAL DATA TECHNICANS",1,0.0,44699,0
"TOOL AND DIE MAKERS",1,0.0,41808,0
"LOGISTICS ENGINEER",1,0.0,81827,0
"COMPUTER OCCUPATION, ALL OTHERS",1,0.0,54288,0
"FIRST-LINE SUPERVISORS OF FIRE FIGHTING AND",1,0.0,21008,0
"COMPUTER INFORMATION SYSTEMS MANAGER",1,0.0,95222,0
"15-1199.01 SW QUALITY ASSURANCE ENGNRS & TESTERS",1,0.0,77522,0
"ART, DRAMA, AND MUSIC TEACHER, POSTSECONDARY",1,0.0,58787,0
"COMPUTER SYSTEMS ANAYSTS",1,0.0,74984,0
"FIRST-LINE SUPERVISORS OF FOOD PREPARATION AND",1,0.0,32926,0
"COMPUER SYSTEMS ANALYSTS",1,0.0,73570,0
"INFORMATION SECURITY ANALYST",1,0.0,73653,0
"SECONDARY SCHOOL TEACHERS,",1,0.0,49230,0
"EDUCATION ADMINISTRATORS, ELEMENTARY/SECONDARY",1,0.0,65690,0
"NURSE MIDWIVES",1,0.0,99944,0
"SOFTWARE DEVELOPERS, APPLICATIAONS",1,0.0,60653,0
"TILE AND MARBLE SETTERS",1,0.0,41600,0
"ELECTRICAL ENGINEERING TECHNOLOGISTS",1,0.0,55120,0
"MEDICAL TECHNOLOGISTS",1,0.0,38085,0
17-2072,1,0.0,93766,0
INTERNISTS,1,0.0,187200,0
"COMMODITIES, AND FINANCIAL SERVICES SALES AGENTS",1,0.0,112029,0
"PROPERTY, REAL ESTATE MANAGERS",1,0.0,73486,0
"ELECTRONICS ENGINEERS EXCEPT COMPUTER",1,0.0,73278,0
"ENVIRONMENTAL ECONOMISTS",1,0.0,42702,0
"FRAUD EXAMINERS, INVESTIGATORS AND ANALYSTS",1,0.0,41683,0
"PHYSICIANS AND SURGEONS, ALL OTHERS",1,0.0,187200,0
"SECURITY AND FIRE ALARM SYSTEMS INSTALLERS",1,0.0,30950,0
"DATEBASE ADMINISTRATORS",1,0.0,63544,0
"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL,",1,0.0,73050,0
"AREA, ETHNIC, & CULTURAL TEACHERS, POSTSECONDARY",1,0.0,64488,0
"FOREIGN LANGUAGE AND LITERATURE TEACHERS, POSTSECONDARY",1,0.0,41330,0
"NETWORK COMPUTER SYSTEMS ADMINISTRATOR",1,0.0,65395,0
"FIRST-LINE SUPERVISORS/MANAGERS OF PRODUCTION AND OPERATING WORKERS",1,0.0,41080,0
"COMPUTER SYSTEMS ENGINEERS/ARCHITECT",1,0.0,92248,0
"MEDICAL TRANSCRIPTIONISTS",1,0.0,21736,0
"FUEL CELL ENGINEERS",1,0.0,50086,0
"SEWING MACHINE OPERATORS",1,0.0,2783,0
"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL ED.",1,0.0,69450,0
"PAPER GOODS MACHINE SETTERS, OPERATORS, AND",1,0.0,37440,0
STATISTICAN,1,0.0,76482,0
"COMMUNICATION TEACHER, POSTSECONDARY",1,0.0,45997,0
BARTENDERS,1,0.0,17534,0
"SECONDARY SCHOOL TEACHER, EXCEPT SPECIAL AND CAREE",1,0.0,44510,0
